model,protocol,subject,kappa,balanced_accuracy
CSP+LDA,cross-subject (LOSO),1,-0.011574074074074181,0.24131944444444442
CSP+LDA,cross-subject (LOSO),2,0.0,0.25
CSP+LDA,within-subject,1,0.650462962962963,0.7378472222222222
CSP+LDA,within-subject,2,0.47685185185185186,0.6076388888888888
FBCSP+SVM,cross-subject (LOSO),1,0.0625,0.296875
FBCSP+SVM,cross-subject (LOSO),2,0.00462962962962965,0.2534722222222222
FBCSP+SVM,within-subject,1,0.7592592592592593,0.8194444444444444
FBCSP+SVM,within-subject,2,0.5069444444444444,0.6302083333333333
Riemann+TS+LR,cross-subject (LOSO),1,0.01620370370370372,0.2621527777777778
Riemann+TS+LR,cross-subject (LOSO),2,0.02777777777777779,0.27083333333333337
Riemann+TS+LR,within-subject,1,0.7708333333333334,0.828125
Riemann+TS+LR,within-subject,2,0.5138888888888888,0.6354166666666667
Riemann+MDM,cross-subject (LOSO),1,0.09259259259259256,0.3194444444444444
Riemann+MDM,cross-subject (LOSO),2,0.0092592592592593,0.2569444444444444
Riemann+MDM,within-subject,1,0.650462962962963,0.7378472222222222
Riemann+MDM,within-subject,2,0.3125,0.484375
BandPower+RF,cross-subject (LOSO),1,0.01620370370370372,0.2621527777777778
BandPower+RF,cross-subject (LOSO),2,-0.03703703703703698,0.2222222222222222
BandPower+RF,within-subject,1,0.3310185185185185,0.49826388888888895
BandPower+RF,within-subject,2,-0.0023148148148148806,0.2482638888888889
