model,protocol,subject,kappa,balanced_accuracy
CSP+LDA,cross-subject (LOSO),1,0.0,0.2
CSP+LDA,cross-subject (LOSO),2,0.012708089097303699,0.19166666666666665
CSP+LDA,cross-subject (LOSO),3,0.0,0.2
CSP+LDA,cross-subject (LOSO),4,0.04159016524307502,0.23095238095238094
CSP+LDA,within-subject,1,0.39756652487882094,0.4901279879540749
CSP+LDA,within-subject,2,0.045406793509980226,0.22932900432900433
CSP+LDA,within-subject,3,0.23597479078417194,0.35155750047054396
CSP+LDA,within-subject,4,0.5637034583905001,0.5399021268586486
FBCSP+SVM,cross-subject (LOSO),1,0.0,0.2
FBCSP+SVM,cross-subject (LOSO),2,0.018928715263793805,0.19560041407867496
FBCSP+SVM,cross-subject (LOSO),3,-0.04520683675997028,0.18333333333333332
FBCSP+SVM,cross-subject (LOSO),4,0.0,0.2
FBCSP+SVM,within-subject,1,0.13182514032998804,0.29866836062488233
FBCSP+SVM,within-subject,2,0.2138992693401751,0.3273103707886317
FBCSP+SVM,within-subject,3,0.14182485519298038,0.2680406549971767
FBCSP+SVM,within-subject,4,0.6584641899655305,0.6343873517786561
Riemann+TS+LR,cross-subject (LOSO),1,0.12959083329770404,0.28405797101449276
Riemann+TS+LR,cross-subject (LOSO),2,0.1236096537250787,0.24254658385093167
Riemann+TS+LR,cross-subject (LOSO),3,-0.025540275049115824,0.19285714285714284
Riemann+TS+LR,cross-subject (LOSO),4,0.026527533316570207,0.20909090909090908
Riemann+TS+LR,within-subject,1,0.4671179883945842,0.5200028232636928
Riemann+TS+LR,within-subject,2,0.4704751735184196,0.5307500470543949
Riemann+TS+LR,within-subject,3,0.37230769230769223,0.4224825898738942
Riemann+TS+LR,within-subject,4,0.7401108166706818,0.7221343873517787
Riemann+MDM,cross-subject (LOSO),1,0.030610328638497664,0.2166666666666667
Riemann+MDM,cross-subject (LOSO),2,0.0025056947608201874,0.19047619047619047
Riemann+MDM,cross-subject (LOSO),3,0.0,0.2
Riemann+MDM,cross-subject (LOSO),4,-0.0023497309179110193,0.2
Riemann+MDM,within-subject,1,0.44310960619694795,0.5582439299830604
Riemann+MDM,within-subject,2,0.3194263363754889,0.4918266516092603
Riemann+MDM,within-subject,3,0.2088465103959739,0.391897233201581
Riemann+MDM,within-subject,4,0.625561377245509,0.6220873329568981
BandPower+RF,cross-subject (LOSO),1,0.06668292088260397,0.23246753246753243
BandPower+RF,cross-subject (LOSO),2,0.09549187489079147,0.2727460944852249
BandPower+RF,cross-subject (LOSO),3,0.029570673328298325,0.20548654244306422
BandPower+RF,cross-subject (LOSO),4,0.31561780506523407,0.35165631469979297
BandPower+RF,within-subject,1,0.05228758169934644,0.22060041407867495
BandPower+RF,within-subject,2,0.030100334448160515,0.21821946169772258
BandPower+RF,within-subject,3,0.1031921968521392,0.23709297948428382
BandPower+RF,within-subject,4,0.5415129593254444,0.5209297948428383
