model,family,protocol,kappa_mean,kappa_std,bacc_mean,bacc_std,n,kappa,balanced_acc
Riemann+TS+LR,classical,"cross-session (T->E, official)",0.5787037037037037,0.2029658353405831,0.6840277777777777,0.15222437650543727,2,0.579 ± 0.203,0.684 ± 0.152
FBCSP+SVM,classical,"cross-session (T->E, official)",0.5462962962962963,0.1702294102856504,0.6597222222222222,0.12767205771423776,2,0.546 ± 0.170,0.660 ± 0.128
CSP+LDA,classical,"cross-session (T->E, official)",0.5069444444444444,0.21278676285706288,0.6302083333333334,0.15959007214279716,2,0.507 ± 0.213,0.630 ± 0.160
Riemann+MDM,classical,"cross-session (T->E, official)",0.48148148148148145,0.1636821252746638,0.6111111111111112,0.12276159395599782,2,0.481 ± 0.164,0.611 ± 0.123
ShallowConvNet,deep,"cross-session (T->E, official)",0.3518518518518518,0.21606040536255627,0.5138888888888888,0.16204530402191708,2,0.352 ± 0.216,0.514 ± 0.162
EEGNet,deep,"cross-session (T->E, official)",0.3472222222222222,0.3535533905932738,0.5104166666666666,0.26516504294495524,2,0.347 ± 0.354,0.510 ± 0.265
DeepConvNet,deep,"cross-session (T->E, official)",0.26851851851851855,0.3993843856701796,0.45138888888888884,0.29953828925263476,2,0.269 ± 0.399,0.451 ± 0.300
TinyTransformer,deep,"cross-session (T->E, official)",0.2361111111111111,0.2618914004394621,0.4270833333333333,0.19641855032959654,2,0.236 ± 0.262,0.427 ± 0.196
BandPower+RF,classical,"cross-session (T->E, official)",0.1759259259259259,0.21606040536255622,0.3819444444444444,0.16204530402191714,2,0.176 ± 0.216,0.382 ± 0.162
TinyLSTM,deep,"cross-session (T->E, official)",-0.006944444444444401,0.003273642505493396,0.24479166666666663,0.002455231879119997,2,-0.007 ± 0.003,0.245 ± 0.002
Riemann+MDM,classical,cross-subject (LOSO),0.0509259259259259,0.05892556509887887,0.2881944444444444,0.04419417382415922,2,0.051 ± 0.059,0.288 ± 0.044
FBCSP+SVM,classical,cross-subject (LOSO),0.0335648148148148,0.040920531318665965,0.2751736111111111,0.030690398488999467,2,0.034 ± 0.041,0.275 ± 0.031
Riemann+TS+LR,classical,cross-subject (LOSO),0.0219907407407407,0.008184106263733138,0.2664930555555556,0.00613807969779985,2,0.022 ± 0.008,0.266 ± 0.006
CSP+LDA,classical,cross-subject (LOSO),-0.00578703703703705,0.008184106263733207,0.2456597222222222,0.006138079697799919,2,-0.006 ± 0.008,0.246 ± 0.006
BandPower+RF,classical,cross-subject (LOSO),-0.010416666666666602,0.037646888813172574,0.2421875,0.028235166609879517,2,-0.010 ± 0.038,0.242 ± 0.028
Riemann+TS+LR,classical,within-subject,0.6423611111111112,0.1816871590548769,0.7317708333333334,0.13626536929115754,2,0.642 ± 0.182,0.732 ± 0.136
FBCSP+SVM,classical,within-subject,0.6331018518518519,0.17841351654938356,0.7248263888888888,0.13381013741203768,2,0.633 ± 0.178,0.725 ± 0.134
CSP+LDA,classical,within-subject,0.5636574074074074,0.12276159395599794,0.6727430555555556,0.09207119546699843,2,0.564 ± 0.123,0.673 ± 0.092
Riemann+MDM,classical,within-subject,0.4814814814814815,0.23897590290100917,0.6111111111111112,0.17923192717575687,2,0.481 ± 0.239,0.611 ± 0.179
BandPower+RF,classical,within-subject,0.16435185185185183,0.2357022603955158,0.3732638888888889,0.1767766952966369,2,0.164 ± 0.236,0.373 ± 0.177
